CST 2026-08-09 17:43:07.358  1510  1510 W A01b01/HOME: SwiperPageVM --> appListInfoChange and isOuter:false,pageIndex:0,size:4,pageInfo:0:4
CST 2026-08-09 17:43:07.358  1510  1510 I A01b01/HOME: SwiperIndicator --> updateValues current: 0 updateValues: 0
CST 2026-08-09 17:43:07.358  1510  1510 I A01b00/SCB: LocalEventManager: sendLocalEvent, send local event with no receiver
CST 2026-08-09 17:43:07.358  1510  1510 I A01b01/HOME: PageDesktopViewModel --> lightPagingFiltering end by scene: 100200|SCENE_MSG_DEFAULT_REFRESH
CST 2026-08-09 17:43:07.359  1510  1510 W A01b01/HOME: ResidentLayoutCacheMgr: dockItem info: keyName: com.huawei.hmos.settingscom.huawei.hmos.settings.MainAbilityphone_settings0, appStatus: 0
CST 2026-08-09 17:43:07.359  1510  1510 I A01b01/HOME: RdbOperation_RdbStoreManager: updateSettings key:page_count value:2
CST 2026-08-09 17:43:07.360  1510  1510 I A01b01/HOME: PageDesktopViewModel --> localEventListener receive event: launcher.event.APP_INSTALL_BMS_CHANGE_EVENT
CST 2026-08-09 17:43:07.360  1510  1510 I A01b01/HOME: FormRelationManager --> update the placeholder form information corresponding to the app: cn.alfadb.netbird.r1probe, isOuter: false
CST 2026-08-09 17:43:07.361  1510  1510 W A01b01/HOME: FormRelationManager --> sceneBoardFormRelationFilePath is not exist
CST 2026-08-09 17:43:07.361  1510  1510 W A01b01/HOME: FormRelationManager --> the bundleName not exist:cn.alfadb.netbird.r1probe
CST 2026-08-09 17:43:07.361  1510  1510 I A01b01/HOME: PageDesktopViewModel --> forms in cache length: 0, bundleName: cn.alfadb.netbird.r1probe, isOuter: false
CST 2026-08-09 17:43:07.361  1510  1510 E A01b01/HOME: PageDesktopViewModel --> no bundle in formModel(undefined) or appModel(false)
CST 2026-08-09 17:43:07.361  1510  1510 I A01b01/HOME: AppModel: getAllShortcutInfo bundleName: cn.alfadb.netbird.r1probe, shortcutInfo length: 0
CST 2026-08-09 17:43:07.362  1510  1510 W A01b01/HOME: PageDesktopViewModel --> The app cn.alfadb.netbird.r1probe does not have static shortcut.
CST 2026-08-09 17:43:07.362  1510  1510 W A01b01/HOME: PageDesktopViewModel --> The app does not have a shortcut icon in the layout.
CST 2026-08-09 17:43:07.362  1510  1510 I A01b01/HOME: AppModel: currentBundleInfoList length: 7
CST 2026-08-09 17:43:07.362  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from basic desktop, size: 5
CST 2026-08-09 17:43:07.362  1510  1510 W A01b01/HOME: PageDesktopViewModel --> app cn.alfadb.netbird.r1probe_0 have no combApp
CST 2026-08-09 17:43:07.362  1510  1510 W A01b01/HOME: PageDesktopViewModel --> regroupDataAppListChange, usual.event.PACKAGE_ADDED, cn.alfadb.netbird.r1probe 0, false
CST 2026-08-09 17:43:07.362  1510  1510 I A01b01/HOME: PageDeskTopViewModelUtils --> SmartDockViewModel::isBundleNameExistInDock: -1
CST 2026-08-09 17:43:07.362  1510  1510 I A01b01/HOME: PageDesktopViewModel --> updateBMSChangedApp bundle=cn.alfadb.netbird.r1probe appIndex=0
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from basic desktop, size: 5
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> update pageDesktopInfo cn.alfadb.netbird.r1probeEntryAbilityentry0 cn.alfadb.netbird.r1probeEntryAbilityentry0
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> lightPagingFiltering start by scene: 100031|SCENE_MSG_UPDATE_BMS_CHANGED_APP, isSkipDuplicateCheck:true
CST 2026-08-09 17:43:07.363  1510  1510 I A01c03/LM: HighFrequencyCallStatistics: record scene lightPagingFiltering at 68015 as NORMAL
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: BaseLayoutCacheManager: getAllGridLayoutItemList from basic desktop, size: 5
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> getAppListInfo bundlInfoListLen:5,layoutInfoLen:5
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> getAppListInfo end, appListInfo length: 5, layoutInfo length: 5,needResetAppInfoList:0
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDeskTopViewModelUtils --> appListInfo exclude folder lenth: 5
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> integrateSwiper max 2
CST 2026-08-09 17:43:07.363  1510  1510 I A01b01/HOME: PageDesktopViewModel --> getMaxPage rdbPageCount: 2, isOuter: false
